Employee ID,Age,Gender,Department,Experience,Salary,Attendance Percentage,Training Hours,Projects Completed,Overtime Hours,Manager Rating,Performance Rating,Promotion Status
EMP4711,50,Male,HR,18,87773.42,97.96,62,8,54,4,5.0,0
EMP0692,50,Male,Operations,1,55022.06,89.6,10,9,49,2,4.27,0
EMP0066,28,Male,IT,4,72200.36,93.66,58,1,50,4,4.27,0
EMP3427,60,Male,Sales,27,127258.83,95.72,65,2,16,3,3.78,0
EMP4821,28,Male,Marketing,5,55647.24,91.87,57,1,31,2,3.4,0
EMP0394,57,Male,Marketing,6,62341.27,95.16,41,4,37,1,3.62,0
EMP1425,48,Non-binary,IT,9,95359.75,96.21,85,9,16,2,4.35,1
EMP0643,37,Male,Operations,0,43944.29,96.76,32,8,10,2,3.9,0
EMP2836,42,Female,Marketing,16,65688.93,93.54,73,4,8,2,3.23,0
EMP1739,49,Male,Operations,20,101101.87,100.0,12,2,41,1,3.08,0
EMP2946,23,Male,IT,1,57044.57,89.31,77,8,28,2,4.07,0
EMP2068,54,Female,Operations,0,38366.64,94.05,73,5,52,3,4.45,0
EMP3348,60,Male,Sales,16,91523.71,93.66,19,5,19,3,3.64,0
EMP0531,47,Male,Marketing,5,60948.74,92.28,56,10,29,5,5.0,1
EMP4302,30,Male,HR,6,58575.66,96.75,72,5,3,3,4.22,1
EMP0829,48,Male,HR,24,107745.13,91.13,78,7,20,5,5.0,0
EMP1205,54,Male,IT,30,158447.37125,92.53,36,10,50,2,5.0,0
EMP0180,53,Male,Finance,3,61353.99,98.03,24,6,42,3,4.62,1
EMP2766,40,Male,Operations,4,56469.03,90.86,22,1,28,5,4.08,0
EMP1778,49,Non-binary,Finance,14,100232.35,90.46,83,3,3,2,3.19,0
EMP4928,33,Male,HR,7,63581.47,90.91,50,3,50,5,4.58,0
EMP0492,39,Male,Operations,0,43723.23,89.75,53,7,24,3,4.24,0
EMP4654,36,Male,Finance,15,110368.32,88.94,56,10,48,3,5.0,1
EMP0034,41,Non-binary,Finance,14,101552.55,100.0,25,7,48,2,4.56,1
EMP3023,23,Female,Operations,0,42740.36,89.6,12,7,24,5,4.41,0
EMP3621,54,Female,IT,25,158447.37125,87.65,67,2,30,3,3.9,0
EMP0486,50,Male,Finance,7,79395.94,96.78,56,5,46,2,4.18,0
EMP0080,27,Male,Operations,6,60376.87,93.9,25,5,1,3,3.57,0
EMP1345,31,Female,Operations,1,45786.85,100.0,69,1,44,1,3.4,0
EMP0578,39,Male,Marketing,5,65688.93,98.66,34,5,15,2,3.65,0
EMP1176,43,Male,Sales,7,66707.87,96.78,25,7,1,3,4.26,1
EMP1488,49,Female,Sales,8,70078.56,97.07,58,9,12,4,5.0,1
EMP0498,27,Male,Marketing,2,52372.06,94.52,83,2,57,5,4.81,0
EMP4103,22,Male,Marketing,1,47187.34,91.81,61,7,54,5,5.0,0
EMP1145,50,Male,Marketing,28,129795.79,83.03,58,6,49,3,4.53,1
EMP3735,60,Male,HR,24,113073.16,94.83,23,10,1,1,3.93,0
EMP4238,23,Male,Finance,2,55194.87,94.11,53,6,46,1,3.8,1
EMP3244,38,Male,IT,1,61292.42,86.78,48,1,56,1,3.04,0
EMP1236,57,Male,Finance,7,72839.23,100.0,81,8,9,5,5.0,1
EMP4569,53,Female,Operations,15,87921.19,91.35,42,10,2,3,4.17,0
EMP4268,24,Male,Operations,0,42980.15,91.27,13,7,48,5,5.0,0
EMP0625,53,Male,HR,26,115132.51,99.38,86,1,47,5,5.0,0
EMP1630,52,Female,Marketing,10,75402.72,96.81,49,1,20,1,2.76,0
EMP0200,29,Female,Operations,4,63992.48,95.31,39,8,20,3,4.43,0
EMP3614,57,Male,Operations,33,141069.2,93.76,39,2,47,3,4.35,1
EMP1989,39,Female,IT,18,141325.11,97.71,82,3,29,4,4.67,0
EMP2345,31,Female,Operations,2,51275.67,97.28,18,2,4,4,3.44,0
EMP3264,28,Male,IT,4,73302.03,97.14,43,10,16,5,5.0,1
EMP1906,55,Male,Marketing,17,96619.17,97.8,63,6,19,1,3.64,0
EMP0766,44,Female,Operations,11,68854.97,91.05,71,4,39,4,4.49,0
EMP0804,54,Male,IT,22,89045.14,93.9,52,9,40,4,5.0,1
EMP1502,46,Male,HR,11,73494.56,97.32,21,10,10,5,5.0,1
EMP1771,53,Male,Sales,15,94461.94,90.11,38,7,54,1,4.12,1
EMP0107,47,Male,Marketing,6,59902.27,92.44,43,4,30,4,4.09,1
EMP2965,41,Male,Marketing,13,87618.07,96.6,81,2,0,5,4.31,1
EMP0839,28,Male,Sales,1,55199.11,98.11,86,6,4,1,3.5,0
EMP3972,21,Male,Marketing,0,47262.82,92.79,75,4,10,1,2.92,0
EMP0706,37,Female,Sales,5,61484.54,91.82,32,9,2,2,3.92,0
EMP4151,56,Male,HR,29,127514.09,89.73,50,8,19,4,5.0,0
EMP3180,50,Male,IT,14,116248.84,100.0,22,7,19,2,4.26,1
EMP4777,33,Male,IT,2,61848.15,93.46,67,7,29,1,3.45,0
EMP0229,46,Male,IT,25,158447.37125,95.33,43,8,21,3,4.78,1
EMP3337,29,Female,Operations,2,49567.35,97.96,67,2,38,1,3.38,0
EMP2269,41,Male,Marketing,1,49090.79,90.49,26,1,9,1,2.48,0
EMP3853,45,Male,IT,23,158447.37125,100.0,19,10,30,3,5.0,1
